Belge ID,Birim,Belge Başlığı,Belge İçeriği
44,Mali İşler,Fatura Uyuşmazlığı,EcoTech firmasına ait 20.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
45,Mali İşler,Ödeme Planı Bildirimi,"XYZ Firması firması ile yapılan anlaşmaya göre 200.000 TL tutarındaki ödeme, 36 taksitte gerçekleştirilecektir. İlk ödeme tarihi 30 Mayıs olarak belirlenmiştir."
46,Mali İşler,Fatura Uyuşmazlığı,Green Supplies firmasına ait 10.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
47,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı İnsan Kaynakları departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
48,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Eğitim ve Gelişim departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
49,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Mali İşler departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
50,Mali İşler,Mali Risk Raporu,"Temmuz-Eylül dönemi için yapılan finansal analiz sonucunda, mali risk faktörleri değerlendirilmiştir. Rapor ve alınması önerilen önlemler ekte sunulmuştur."
51,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Genel Müdürlük departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
52,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Genel Müdürlük departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
53,Mali İşler,Gelir-Gider Raporu,"Geçtiğimiz çeyrekte toplam gelir 1.000.000 TL, toplam gider 350.000 TL olarak hesaplanmıştır. Net kar marjı %12 olarak belirlenmiştir. Ayrıntılı rapor ekte sunulmuştur."
54,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Teknik Destek departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
55,Mali İşler,Bütçe Onayı,"2024 yılı için hazırlanan bütçe planında Mali İşler departmanına ayrılan bütçe, geçen yıla göre %10 artış göstermiştir. Bütçe detayları ve onay süreci için ilgili belgeler ekte yer almaktadır."
56,Mali İşler,Mali Risk Raporu,"Nisan-Haziran dönemi için yapılan finansal analiz sonucunda, mali risk faktörleri değerlendirilmiştir. Rapor ve alınması önerilen önlemler ekte sunulmuştur."
57,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Eğitim ve Gelişim departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
58,Mali İşler,Mali Risk Raporu,"Ocak-Mart dönemi için yapılan finansal analiz sonucunda, mali risk faktörleri değerlendirilmiştir. Rapor ve alınması önerilen önlemler ekte sunulmuştur."
59,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı İnsan Kaynakları departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
60,Mali İşler,Fatura Uyuşmazlığı,EcoTech firmasına ait 100.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
61,Mali İşler,Vergi Ödeme Bildirimi,Şirketimize ait vergi yükümlülükleri için 10 Mart tarihine kadar ödeme yapılması gerekmektedir. Evrakların ilgili departmanlara gönderilmesi talep edilmiştir.
62,Mali İşler,Ödeme Planı Bildirimi,"Global Market firması ile yapılan anlaşmaya göre 10.000 TL tutarındaki ödeme, 36 taksitte gerçekleştirilecektir. İlk ödeme tarihi 20 Şubat olarak belirlenmiştir."
63,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı İnsan Kaynakları departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
64,Mali İşler,Gelir-Gider Raporu,"Geçtiğimiz çeyrekte toplam gelir 500.000 TL, toplam gider 600.000 TL olarak hesaplanmıştır. Net kar marjı %12 olarak belirlenmiştir. Ayrıntılı rapor ekte sunulmuştur."
65,Mali İşler,Fatura Uyuşmazlığı,ABC Tedarik firmasına ait 10.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
66,Mali İşler,Fatura Uyuşmazlığı,Global Market firmasına ait 10.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
67,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Genel Müdürlük departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
68,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Teknik Destek departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
69,Mali İşler,Vergi Ödeme Bildirimi,Şirketimize ait vergi yükümlülükleri için 15 Temmuz tarihine kadar ödeme yapılması gerekmektedir. Evrakların ilgili departmanlara gönderilmesi talep edilmiştir.
70,Mali İşler,Banka İşlem Bildirimi,Y Bank bankasında yapılan Yatırım işlemi sonucunda 100.000 TL aktarılmıştır. İşlem detayları ve dekont ekte yer almaktadır.
71,Mali İşler,Bütçe Onayı,"2024 yılı için hazırlanan bütçe planında İnsan Kaynakları departmanına ayrılan bütçe, geçen yıla göre %10 artış göstermiştir. Bütçe detayları ve onay süreci için ilgili belgeler ekte yer almaktadır."
72,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Eğitim ve Gelişim departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
73,Mali İşler,Fatura Uyuşmazlığı,Tech Solutions firmasına ait 10.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
74,Mali İşler,Bütçe Revizyonu Bildirimi,2024 yılı Mali İşler departmanı bütçesinde %5 oranında revizyon yapılmıştır. Revize edilen bütçe detayları ekte yer almaktadır.
75,Mali İşler,Fatura Uyuşmazlığı,Secure Systems firmasına ait 50.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
76,Mali İşler,Bütçe Onayı,"2024 yılı için hazırlanan bütçe planında Satın Alma departmanına ayrılan bütçe, geçen yıla göre %10 artış göstermiştir. Bütçe detayları ve onay süreci için ilgili belgeler ekte yer almaktadır."
77,Mali İşler,Vergi Ödeme Bildirimi,Şirketimize ait vergi yükümlülükleri için 25 Nisan tarihine kadar ödeme yapılması gerekmektedir. Evrakların ilgili departmanlara gönderilmesi talep edilmiştir.
78,Mali İşler,Banka İşlem Bildirimi,B Bank bankasında yapılan Tahsilat işlemi sonucunda 20.000 TL aktarılmıştır. İşlem detayları ve dekont ekte yer almaktadır.
79,Mali İşler,Fatura Uyuşmazlığı,Secure Systems firmasına ait 50.000 TL tutarındaki faturada hatalı ödeme kalemleri tespit edilmiştir. Firmadan güncellenmiş fatura talep edilmiştir.
80,Mali İşler,Banka İşlem Bildirimi,B Bank bankasında yapılan Yatırım işlemi sonucunda 200.000 TL aktarılmıştır. İşlem detayları ve dekont ekte yer almaktadır.
81,Satın Alma,Yeni Satın Alma Politikası,2024 yılı itibariyle şirketin satın alma süreçlerinde çevre dostu ve sürdürülebilir ürünlere öncelik verilecektir. Bu doğrultuda yeni tedarikçi listesi oluşturulmuştur.
82,Satın Alma,Tedarikçi Değerlendirme,Secure Systems firmasıyla yapılan işbirliği sonucu teslimat sürelerinde aksaklık yaşandığı tespit edilmiştir. Tedarikçiden iyileştirme planı talep edilmiştir.
83,Satın Alma,Stok Takip Raporu,Hukuk departmanında bulunan bilgisayar ürünlerinin stok seviyesi %10'un altına düşmüştür. Acil sipariş gereksinimi doğmuştur.
84,Satın Alma,Tedarikçi Değerlendirme,Global Market firmasıyla yapılan işbirliği sonucu teslimat sürelerinde aksaklık yaşandığı tespit edilmiştir. Tedarikçiden iyileştirme planı talep edilmiştir.
85,Satın Alma,Tedarik Süreci Gecikme Bildirimi,ABC Tedarik firmasından alınan kağıt ve toner ürünlerinin teslimatında lojistik sorunlar nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 15 Ocak olarak belirlenmiştir.
86,Satın Alma,Yeni Satın Alma Politikası,2024 yılı itibariyle şirketin satın alma süreçlerinde çevre dostu ve sürdürülebilir ürünlere öncelik verilecektir. Bu doğrultuda yeni tedarikçi listesi oluşturulmuştur.
87,Satın Alma,Tedarik Süreci Gecikme Bildirimi,XYZ Firması firmasından alınan yazıcı ürünlerinin teslimatında force majeure nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 15 Nisan olarak belirlenmiştir.
88,Satın Alma,Tedarik Süreci Gecikme Bildirimi,Tech Solutions firmasından alınan bilgisayar ürünlerinin teslimatında tedarik zinciri aksaklığı nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 25 Temmuz olarak belirlenmiştir.
89,Satın Alma,Yeni Satın Alma Politikası,2024 yılı itibariyle şirketin satın alma süreçlerinde çevre dostu ve sürdürülebilir ürünlere öncelik verilecektir. Bu doğrultuda yeni tedarikçi listesi oluşturulmuştur.
90,Satın Alma,Teklif Toplama Raporu,bilgisayar ürünleri için 15 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif EcoSupply tarafından sunulmuştur.
91,Satın Alma,Tedarik Süreci Gecikme Bildirimi,ABC Tedarik firmasından alınan bilgisayar ürünlerinin teslimatında üretim gecikmesi nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 15 Ocak olarak belirlenmiştir.
92,Satın Alma,Stok Takip Raporu,Genel Müdürlük departmanında bulunan proje ekranı ürünlerinin stok seviyesi %10'un altına düşmüştür. Acil sipariş gereksinimi doğmuştur.
93,Satın Alma,Teklif Toplama Raporu,klavye ve mouse ürünleri için 3 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif Global Tech tarafından sunulmuştur.
94,Satın Alma,Malzeme Sipariş Talebi,Eğitim ve Gelişim departmanında kullanılan ofis sandalyesi ürünleri stokta kalmamıştır. Acil sipariş gereksinimi doğmuştur. Teklif veren firmalar arasında en uygun fiyat Tech Solutions tarafından sunulmuştur.
95,Satın Alma,Teklif Toplama Raporu,kağıt ve toner ürünleri için 7 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif ABC Ltd. tarafından sunulmuştur.
96,Satın Alma,Tedarikçi Değerlendirme,EcoTech firmasıyla yapılan işbirliği sonucu teslimat sürelerinde aksaklık yaşandığı tespit edilmiştir. Tedarikçiden iyileştirme planı talep edilmiştir.
97,Satın Alma,Tedarik Süreci Gecikme Bildirimi,Green Supplies firmasından alınan kağıt ve toner ürünlerinin teslimatında gümrük işlemleri nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 25 Temmuz olarak belirlenmiştir.
98,Satın Alma,Tedarikçi Değerlendirme,Green Supplies firmasıyla yapılan işbirliği sonucu teslimat sürelerinde aksaklık yaşandığı tespit edilmiştir. Tedarikçiden iyileştirme planı talep edilmiştir.
99,Satın Alma,Teklif Toplama Raporu,bilgisayar ürünleri için 7 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif EcoSupply tarafından sunulmuştur.
100,Satın Alma,Satın Alma Sözleşmesi,ABC Tedarik firması ile 1 Ekim 2024 tarihinde tedarik sözleşmesi imzalanmıştır. Sözleşme detayları ekte yer almaktadır.
101,Satın Alma,Ürün İade İşlemi,kağıt ve toner ürünlerinde tespit edilen kusurlar nedeniyle toplam 100.000 TL tutarındaki ürünler tedarikçiye iade edilmiştir.
102,Satın Alma,Teklif Toplama Raporu,klavye ve mouse ürünleri için 7 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif SmartVendor tarafından sunulmuştur.
103,Satın Alma,Yeni Satın Alma Politikası,2024 yılı itibariyle şirketin satın alma süreçlerinde çevre dostu ve sürdürülebilir ürünlere öncelik verilecektir. Bu doğrultuda yeni tedarikçi listesi oluşturulmuştur.
104,Satın Alma,Tedarik Süreci Gecikme Bildirimi,EcoTech firmasından alınan proje ekranı ürünlerinin teslimatında gümrük işlemleri nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 15 Nisan olarak belirlenmiştir.
105,Satın Alma,Tedarik Süreci Gecikme Bildirimi,Secure Systems firmasından alınan sunucu yedek parçası ürünlerinin teslimatında tedarik zinciri aksaklığı nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 15 Ekim olarak belirlenmiştir.
106,Satın Alma,Ürün İade İşlemi,hard disk ürünlerinde tespit edilen kusurlar nedeniyle toplam 75.000 TL tutarındaki ürünler tedarikçiye iade edilmiştir.
107,Satın Alma,Satın Alma Sözleşmesi,Green Supplies firması ile 1 Ocak 2024 tarihinde ortaklık sözleşmesi imzalanmıştır. Sözleşme detayları ekte yer almaktadır.
108,Satın Alma,Tedarik Süreci Gecikme Bildirimi,Green Supplies firmasından alınan yazıcı ürünlerinin teslimatında lojistik sorunlar nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 25 Temmuz olarak belirlenmiştir.
109,Satın Alma,Tedarik Süreci Gecikme Bildirimi,Green Supplies firmasından alınan hard disk ürünlerinin teslimatında tedarik zinciri aksaklığı nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 15 Nisan olarak belirlenmiştir.
110,Satın Alma,Ürün İade İşlemi,sunucu yedek parçası ürünlerinde tespit edilen kusurlar nedeniyle toplam 20.000 TL tutarındaki ürünler tedarikçiye iade edilmiştir.
111,Satın Alma,Satın Alma Sözleşmesi,EcoTech firması ile 1 Ocak 2024 tarihinde hizmet sözleşmesi imzalanmıştır. Sözleşme detayları ekte yer almaktadır.
112,Satın Alma,Ürün İade İşlemi,yazıcı ürünlerinde tespit edilen kusurlar nedeniyle toplam 75.000 TL tutarındaki ürünler tedarikçiye iade edilmiştir.
113,Satın Alma,Teklif Toplama Raporu,kağıt ve toner ürünleri için 5 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif Global Tech tarafından sunulmuştur.
114,Satın Alma,Malzeme Sipariş Talebi,Teknik Destek departmanında kullanılan ofis sandalyesi ürünleri stokta kalmamıştır. Acil sipariş gereksinimi doğmuştur. Teklif veren firmalar arasında en uygun fiyat Tech Solutions tarafından sunulmuştur.
115,Satın Alma,Tedarik Süreci Gecikme Bildirimi,XYZ Firması firmasından alınan klavye ve mouse ürünlerinin teslimatında lojistik sorunlar nedeniyle gecikme yaşanmıştır. Yeni teslim tarihi 25 Temmuz olarak belirlenmiştir.
116,Satın Alma,Teklif Toplama Raporu,kağıt ve toner ürünleri için 3 tedarikçiden fiyat teklifi alınmıştır. En uygun teklif EcoSupply tarafından sunulmuştur.
117,Satın Alma,Malzeme Sipariş Talebi,Kalite Yönetimi departmanında kullanılan proje ekranı ürünleri stokta kalmamıştır. Acil sipariş gereksinimi doğmuştur. Teklif veren firmalar arasında en uygun fiyat ABC Tedarik tarafından sunulmuştur.
118,Satın Alma,Ürün İade İşlemi,sunucu yedek parçası ürünlerinde tespit edilen kusurlar nedeniyle toplam 50.000 TL tutarındaki ürünler tedarikçiye iade edilmiştir.
119,Satın Alma,Tedarikçi Değerlendirme,EcoTech firmasıyla yapılan işbirliği sonucu teslimat sürelerinde aksaklık yaşandığı tespit edilmiştir. Tedarikçiden iyileştirme planı talep edilmiştir.
120,Satın Alma,Yeni Satın Alma Politikası,2024 yılı itibariyle şirketin satın alma süreçlerinde çevre dostu ve sürdürülebilir ürünlere öncelik verilecektir. Bu doğrultuda yeni tedarikçi listesi oluşturulmuştur.
121,Hukuk,Sözleşme Onayı,"satış sözleşmesi, Melis Yıldız tarafından incelenmiş ve onaylanmıştır. Ek sözleşme maddeleri için karşı tarafın onayı beklenmektedir."
122,Hukuk,Dava Sonuç Bildirimi,tazminat davasının sonucu lehte sonuçlanmıştır olarak açıklanmıştır. Dava sürecine ilişkin detaylar raporda yer almaktadır.
123,Hukuk,İhlal Bildirimi,Pazarlama departmanında tespit edilen rekabet kuralları ihlaliyle ilgili yasal işlemler başlatılmıştır. Süreç takip edilmektedir.
124,Hukuk,Yasal Uyarı,Şirketimize gelen ağ sorunları şikayeti doğrultusunda yasal uyarı yapılmıştır. Detaylar hukuk departmanında değerlendirilmektedir.
125,Hukuk,Sözleşme Değişiklik Bildirimi,hizmet sözleşmesine 1 Temmuz 2024 tarihinde ek maddeler eklenmiştir. Güncellenmiş sözleşme ekte yer almaktadır.
126,Hukuk,İhlal Bildirimi,Mali İşler departmanında tespit edilen iş sağlığı ve güvenliği ihlaliyle ilgili yasal işlemler başlatılmıştır. Süreç takip edilmektedir.
127,Hukuk,Hukuki Görüş Raporu,tazminat talebi konusuyla ilgili hukuki görüş hazırlanmıştır. Detaylı rapor ekte yer almaktadır.
128,Hukuk,Hukuki Görüş Raporu,lisans ihlali konusuyla ilgili hukuki görüş hazırlanmıştır. Detaylı rapor ekte yer almaktadır.
129,Hukuk,Sözleşme Onayı,"satış sözleşmesi, Cenk Acar tarafından incelenmiş ve onaylanmıştır. Ek sözleşme maddeleri için karşı tarafın onayı beklenmektedir."
